FirstName,LastName,Department,Role,Hire Date,Base Salary,Monthly Sales,Sales Target,Commission Rate,Commission Earned,Customer Rating,Customer Complaints,Employee Satisfaction Score,Manager Name,Sales Performance Status,Customer Handling Rate
Troy,Ponce,HR,Recruiter,9/13/2020,67262,,,,,,,99,Renee Green,Meets Expectation,Need Improvement
Mrs.,Kristy,Operations,Procurement Specialist,1/27/2015,92997,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Madeline,Mcfarland,Operations,Procurement Specialist,01/11/2016 ,60051,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Mr.,Ryan,Operations,Logistics Coordinator,4/22/2021,68942,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Evan,Moreno,IT,Software Engineer,1/29/2015,70506,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Erin,Reese,Operations,Operations Manager,10/10/2016 ,59622,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Melissa,Garcia,Customer Support,Customer Service Rep,2/26/2023,57121,,,,,1,7,,Christopher Ochoa,Meets Expectation,Need Improvement
Arthur,Jones,Marketing,Content Strategist,10/04/2019 ,57192,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Michael,Kim,HR,HR Coordinator,8/31/2020,46289,,,,,,,89,Renee Green,Meets Expectation,Need Improvement
Mallory,Miller,IT,Data Analyst,03/01/2021 ,99388,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Melissa,Nunez,Finance,Accountant,8/13/2016,78813,,,,,,,,David Davis,Meets Expectation,Need Improvement
Amber,Ramos,Operations,Procurement Specialist,11/06/2020 ,94042,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Terry,Madden,Marketing,Marketing Analyst,9/20/2021,69150,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Matthew,Ramos,Marketing,SEO Specialist,04/08/2023 ,78313,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Dr.,Maureen,Operations,Procurement Specialist,03/05/2019 ,54773,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Dale,Jackson,Sales,Sales Manager,2/13/2021,84887,137361,120959,0,2854,2,9,,Bryan Burnett,High Performance,Need Improvement
Andrew,Cantu,Marketing,Marketing Analyst,9/24/2019,73496,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Christina,Garcia,Sales,Account Manager,09/07/2022 ,57316,156268,146734,0,8951,3,0,,Bryan Burnett,High Performance,Need Improvement
Lisa,Gomez,Marketing,SEO Specialist,02/04/2016 ,49585,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Brian,Hanson,Marketing,Marketing Analyst,2/24/2015,57681,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Amber,Richardson,HR,HR Manager,3/28/2015,54631,,,,,,,99,Renee Green,Meets Expectation,Satisfactory
Joann,Holmes,Sales,Account Manager,8/30/2020,79050,79837,90535,0,3812,4,1,,Bryan Burnett,Meets Expectation,Need Improvement
Tracy,Hobbs,HR,HR Manager,9/18/2015,48239,,,,,,,89,Renee Green,Meets Expectation,Need Improvement
Nicholas,Robinson,Marketing,Marketing Analyst,7/18/2019,56945,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Sherry,Smith,Operations,Procurement Specialist,11/18/2016,54428,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Andre,Rush,Customer Support,Call Center Agent,4/23/2018,39923,,,,,3,7,,Christopher Ochoa,Meets Expectation,Satisfactory
Christopher,Decker,Sales,Sales Manager,1/29/2017,52709,196918,160387,0,11742,4,2,,Bryan Burnett,High Performance,Need Improvement
Jennifer,Davis,Finance,Auditor,05/03/2018 ,67426,,,,,,,,David Davis,Meets Expectation,Satisfactory
Connor,Hamilton,Customer Support,Customer Service Rep,8/29/2018,41126,,,,,5,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Norman,Hogan,Customer Support,Customer Service Rep,1/16/2020,44984,,,,,3,6,,Christopher Ochoa,Meets Expectation,Need Improvement
John,Gray,Customer Support,Call Center Agent,10/25/2020,36058,,,,,2,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Javier,Spencer,Sales,Account Manager,2/13/2019,84444,40172,82136,0,2082,3,5,,Bryan Burnett,Need Improvement,Need Improvement
Paul,Snyder,HR,HR Coordinator,06/08/2022 ,61768,,,,,,,78,Renee Green,Meets Expectation,Need Improvement
Elizabeth,West,HR,Recruiter,02/09/2020 ,89711,,,,,,,99,Renee Green,Meets Expectation,Need Improvement
Holly,Rodriguez,HR,HR Manager,3/30/2020,63819,,,,,,,62,Renee Green,Meets Expectation,Need Improvement
Gloria,Gates,IT,IT Support,6/14/2018,50598,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Stephen,Richards,Sales,Sales Manager,3/14/2021,79522,170658,180050,0,6652,4,6,,Bryan Burnett,Meets Expectation,Need Improvement
Michelle,Jacobson,Marketing,Content Strategist,05/12/2016 ,55063,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Christopher,Davis,Customer Support,Support Specialist,8/21/2017,41571,,,,,3,2,,Christopher Ochoa,Meets Expectation,Need Improvement
Michael,Martinez,Finance,Auditor,09/01/2015 ,95919,,,,,,,,David Davis,Meets Expectation,Need Improvement
David,Smith,IT,Software Engineer,01/11/2023 ,51705,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Robert,Massey,Finance,Financial Analyst,8/14/2017,89155,,,,,,,,David Davis,Meets Expectation,Need Improvement
Christopher,Hernandez,Sales,Sales Executive,9/22/2023,71285,184598,159586,0,7954,2,9,,Bryan Burnett,High Performance,Need Improvement
Victoria,Wood,HR,HR Coordinator,8/23/2019,52866,,,,,,,94,Renee Green,Meets Expectation,Need Improvement
Joe,Kim,Finance,Financial Analyst,7/18/2016,98040,,,,,,,,David Davis,Meets Expectation,Need Improvement
Kelly,Dominguez,Sales,Sales Manager,11/22/2017,72240,24046,60288,0,766,4,9,,Bryan Burnett,Need Improvement,Need Improvement
Ryan,Le,Marketing,Content Strategist,07/08/2022 ,78601,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Benjamin,Warner,Finance,Financial Analyst,1/13/2018,101037,,,,,,,,David Davis,Meets Expectation,Need Improvement
Michelle,Walsh,Finance,Accountant,9/16/2021,65434,,,,,,,,David Davis,Meets Expectation,Need Improvement
Casey,Sanchez,Customer Support,Customer Service Rep,8/28/2015,45913,,,,,1,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Wyatt,Moyer,Operations,Procurement Specialist,07/11/2021 ,58095,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Timothy,Mcdaniel,Sales,Sales Manager,6/20/2018,50155,225727,147143,0,13819,3,9,,Bryan Burnett,High Performance,Need Improvement
Jamie,Johnson,IT,Software Engineer,8/30/2017,78087,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Christopher,Sullivan,Sales,Account Manager,8/30/2019,58628,129189,127783,0,4876,5,7,,Bryan Burnett,High Performance,Need Improvement
Veronica,Nolan,Finance,Auditor,12/27/2018,107718,,,,,,,,David Davis,Meets Expectation,Need Improvement
Adrian,Jones,Marketing,Marketing Analyst,11/01/2020 ,66091,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Amy,Santiago,Finance,Financial Analyst,1/27/2019,82336,,,,,,,,David Davis,Meets Expectation,Need Improvement
Benjamin,Cook,Marketing,Content Strategist,8/20/2021,78301,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
David,Rangel,Operations,Procurement Specialist,3/20/2021,66675,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Morgan,Richardson,Operations,Procurement Specialist,4/28/2015,78483,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Frank,Woods,HR,HR Manager,5/22/2020,75578,,,,,,,69,Renee Green,Meets Expectation,Need Improvement
Lisa,Watson,Marketing,Marketing Analyst,12/05/2017 ,57474,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Darren,Delgado,Operations,Procurement Specialist,10/24/2021,94951,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Lisa,Williams,IT,Data Analyst,12/16/2019,55168,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Amanda,Wright,IT,Software Engineer,10/13/2019,111126,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Amanda,Woods,HR,HR Coordinator,11/03/2023 ,46878,,,,,,,60,Renee Green,Meets Expectation,Need Improvement
Veronica,Mcconnell,Marketing,Content Strategist,01/10/2019 ,78415,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Matthew,Willis,Finance,Financial Analyst,7/31/2015,96904,,,,,,,,David Davis,Meets Expectation,Need Improvement
Stephanie,Hayes,IT,IT Support,10/09/2022 ,90807,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jerry,Mccarty,IT,Software Engineer,01/12/2021 ,77865,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jason,Clark,IT,IT Support,7/29/2021,84862,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Laurie,Garcia,Sales,Sales Executive,3/20/2015,85533,242971,106905,0,7740,3,1,,Bryan Burnett,High Performance,Need Improvement
Alicia,Ford,Sales,Sales Manager,09/01/2021 ,40079,144100,64984,0,9126,5,6,,Bryan Burnett,High Performance,Need Improvement
Shawn,Perry,IT,Data Analyst,4/30/2018,106959,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Melissa,Hart,Sales,Sales Executive,02/08/2015 ,41830,194464,139330,0,12722,3,3,,Bryan Burnett,High Performance,Need Improvement
Shannon,Barrett,Marketing,Content Strategist,09/09/2020 ,73013,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Michael,Butler,Sales,Sales Manager,03/02/2021 ,84008,58058,86219,0,3629,3,2,,Bryan Burnett,Need Improvement,Need Improvement
Desiree,Avila,IT,IT Support,11/16/2015,110472,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Eric,Jones,Sales,Sales Executive,2/17/2015,75134,52966,192216,0,3634,1,3,,Bryan Burnett,Need Improvement,Need Improvement
Karen,Moore,Marketing,SEO Specialist,08/11/2017 ,77731,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Allen,Young,Marketing,Marketing Analyst,7/17/2019,64170,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Nicole,Kramer,Finance,Accountant,05/11/2022 ,107065,,,,,,,,David Davis,Meets Expectation,Need Improvement
Rachel,Greene,Customer Support,Customer Service Rep,01/10/2016 ,63036,,,,,2,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Lisa,Beck,Customer Support,Support Specialist,6/16/2016,37459,,,,,1,6,,Christopher Ochoa,Meets Expectation,Need Improvement
David,Beltran,Operations,Procurement Specialist,08/03/2015 ,52379,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Christopher,Mitchell,HR,HR Manager,3/30/2016,87490,,,,,,,81,Renee Green,Meets Expectation,Need Improvement
Micheal,Stevenson,Customer Support,Support Specialist,3/27/2018,49547,,,,,5,7,,Christopher Ochoa,Meets Expectation,Need Improvement
Lisa,Salazar,HR,HR Coordinator,3/23/2017,62571,,,,,,,92,Renee Green,Meets Expectation,Need Improvement
Miranda,Gomez,HR,HR Manager,05/08/2019 ,56405,,,,,,,82,Renee Green,Meets Expectation,Need Improvement
Loretta,Brown,Sales,Sales Executive,1/19/2016,50070,58410,172085,0,2813,1,8,,Bryan Burnett,Need Improvement,Need Improvement
Tiffany,Foley,Sales,Sales Executive,11/09/2018 ,89399,175042,183065,0,5314,2,5,,Bryan Burnett,Meets Expectation,Need Improvement
Michelle,Williams,Finance,Financial Analyst,12/14/2022,85232,,,,,,,,David Davis,Meets Expectation,Need Improvement
Annette,Morgan,Marketing,SEO Specialist,6/23/2019,45618,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Bailey,Davis,Sales,Sales Manager,5/28/2023,46411,230496,197227,0,8534,5,9,,Bryan Burnett,High Performance,Need Improvement
Melissa,Long,IT,Data Analyst,12/24/2020,56272,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Lori,Richard,Marketing,Marketing Analyst,3/29/2015,73328,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Matthew,Farrell,Operations,Logistics Coordinator,10/08/2017 ,99741,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Dana,Foster,Sales,Sales Executive,4/20/2022,71864,217836,146788,0,13411,2,5,,Bryan Burnett,High Performance,Need Improvement
Sarah,Jones,Marketing,Marketing Analyst,10/18/2021,45571,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Lori,Reyes,Finance,Accountant,12/10/2021 ,107449,,,,,,,,David Davis,Meets Expectation,Need Improvement
Amber,Mathews,Customer Support,Call Center Agent,7/25/2015,37143,,,,,3,7,,Christopher Ochoa,Meets Expectation,Satisfactory
Carla,Smith,Sales,Account Manager,05/04/2016 ,65137,215053,55280,0,14963,4,5,,Bryan Burnett,High Performance,Need Improvement
Barbara,Lowery,Sales,Sales Manager,04/02/2023 ,89358,131310,174436,0,6724,3,0,,Bryan Burnett,Need Improvement,Need Improvement
Shawn,Hampton,HR,HR Coordinator,12/03/2016 ,56602,,,,,,,71,Renee Green,Meets Expectation,Need Improvement
Casey,Ross,HR,HR Manager,2/23/2018,51656,,,,,,,71,Renee Green,Meets Expectation,Need Improvement
Matthew,Spencer,Finance,Auditor,11/25/2023,80229,,,,,,,,David Davis,Meets Expectation,Need Improvement
Richard,Franklin,Customer Support,Call Center Agent,09/09/2016 ,55791,,,,,2,0,,Christopher Ochoa,Meets Expectation,Need Improvement
Christopher,Hampton,Finance,Auditor,10/20/2015,69969,,,,,,,,David Davis,Meets Expectation,Need Improvement
Ann,Flores,Marketing,Content Strategist,03/06/2023 ,54661,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Rickey,Sanders,Marketing,Marketing Analyst,9/23/2023,67442,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Jessica,Allen,Sales,Sales Manager,5/16/2023,84695,194712,117600,0,10431,4,7,,Bryan Burnett,High Performance,Satisfactory
Darren,Brown,Customer Support,Customer Service Rep,10/12/2022 ,56268,,,,,4,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Donna,Reeves,Marketing,SEO Specialist,09/10/2019 ,82682,,,,,,,,Trevor Cooper,Meets Expectation,Satisfactory
Charles,Chen,Customer Support,Customer Service Rep,1/28/2022,67683,,,,,4,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Lynn,George,IT,IT Support,2/22/2016,88235,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Anne,Gomez,Marketing,Content Strategist,5/16/2020,57632,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
James,King,IT,Software Engineer,11/25/2019,82151,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Katherine,Edwards,Sales,Sales Executive,07/07/2015 ,88568,113762,92641,0,2607,3,4,,Bryan Burnett,High Performance,Need Improvement
Daniel,Anderson,Operations,Logistics Coordinator,3/27/2019,88736,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Brandon,James,HR,HR Manager,02/09/2022 ,71857,,,,,,,88,Renee Green,Meets Expectation,Need Improvement
Brett,Lewis,Customer Support,Call Center Agent,10/17/2018,37223,,,,,3,2,,Christopher Ochoa,Meets Expectation,Need Improvement
Julia,Ball,Finance,Financial Analyst,03/12/2022 ,95984,,,,,,,,David Davis,Meets Expectation,Excellent Services
Kimberly,Davis,Customer Support,Call Center Agent,4/21/2016,58871,,,,,5,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Darius,Skinner,Customer Support,Support Specialist,5/22/2019,63111,,,,,2,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Robert,Patterson,Operations,Logistics Coordinator,10/19/2015,76851,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Lori,Parks,HR,Recruiter,2/22/2020,46446,,,,,,,97,Renee Green,Meets Expectation,Need Improvement
Brian,Bush,HR,HR Manager,9/13/2022,74665,,,,,,,90,Renee Green,Meets Expectation,Need Improvement
Kiara,Taylor,Customer Support,Support Specialist,7/14/2018,46779,,,,,4,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Nicole,Baxter,Finance,Financial Analyst,11/15/2022,103298,,,,,,,,David Davis,Meets Expectation,Need Improvement
Kathryn,Trujillo,Finance,Accountant,10/17/2022,58029,,,,,,,,David Davis,Meets Expectation,Need Improvement
Ashley,Russell,Operations,Operations Manager,6/26/2020,52340,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Jeff,Jackson,Customer Support,Customer Service Rep,10/18/2023,36459,,,,,1,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Jennifer,Barker,Finance,Auditor,02/02/2015 ,73777,,,,,,,,David Davis,Meets Expectation,Need Improvement
Sarah,Peters,Finance,Accountant,5/19/2016,68849,,,,,,,,David Davis,Meets Expectation,Need Improvement
Charles,Rowland,Finance,Auditor,04/09/2021 ,106100,,,,,,,,David Davis,Meets Expectation,Need Improvement
Robert,Martin,IT,Data Analyst,01/02/2017 ,59042,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Geoffrey,Escobar,Operations,Operations Manager,3/27/2022,81656,,,,,,,,Mr. Bradley Welch,Meets Expectation,Satisfactory
Christopher,Nelson,Sales,Sales Manager,02/12/2015 ,71195,38742,72477,0,1865,4,0,,Bryan Burnett,Need Improvement,Need Improvement
Lindsay,Castillo,Sales,Sales Manager,09/07/2023 ,85755,92550,110617,0,4689,2,6,,Bryan Burnett,Meets Expectation,Need Improvement
Jerry,Preston,Finance,Auditor,11/25/2017,70665,,,,,,,,David Davis,Meets Expectation,Need Improvement
Andrew,Hernandez,Finance,Accountant,11/21/2022,91958,,,,,,,,David Davis,Meets Expectation,Need Improvement
Lindsay,Jacobs,Customer Support,Call Center Agent,2/23/2015,40884,,,,,3,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Ruben,Garrett,Marketing,Content Strategist,05/08/2022 ,54527,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Mark,Berry,Customer Support,Customer Service Rep,04/04/2017 ,49294,,,,,3,8,,Christopher Ochoa,Meets Expectation,Need Improvement
Ralph,Ramirez,Customer Support,Support Specialist,04/03/2018 ,48157,,,,,3,2,,Christopher Ochoa,Meets Expectation,Need Improvement
Jill,Lewis,Marketing,Marketing Analyst,10/23/2017,58706,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Jonathan,Booth,Marketing,Marketing Analyst,09/10/2022 ,66396,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Molly,Black,HR,Recruiter,08/01/2020 ,91454,,,,,,,82,Renee Green,Meets Expectation,Need Improvement
Alexandria,Roberson,HR,HR Manager,4/21/2019,81057,,,,,,,87,Renee Green,Meets Expectation,Need Improvement
Zachary,Morales,Finance,Auditor,10/21/2016,66422,,,,,,,,David Davis,Meets Expectation,Need Improvement
Kevin,Gutierrez,IT,Software Engineer,8/27/2019,91490,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Alexander,Ray,Marketing,Content Strategist,3/20/2016,51000,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Jacob,Cardenas,Customer Support,Call Center Agent,7/26/2022,45708,,,,,2,4,,Christopher Ochoa,Meets Expectation,Need Improvement
Kim,Donovan,HR,HR Coordinator,3/30/2016,85301,,,,,,,68,Renee Green,Meets Expectation,Need Improvement
Todd,Young,Finance,Financial Analyst,6/21/2020,57294,,,,,,,,David Davis,Meets Expectation,Need Improvement
Elaine,Davis,Operations,Procurement Specialist,05/12/2015 ,50249,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Tracey,Allen,Operations,Procurement Specialist,03/08/2023 ,62538,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Kelly,Rodriguez,Finance,Auditor,06/04/2020 ,59706,,,,,,,,David Davis,Meets Expectation,Need Improvement
Jessica,Potter,HR,Recruiter,02/07/2022 ,59461,,,,,,,98,Renee Green,Meets Expectation,Need Improvement
Jeremy,Haley,Sales,Account Manager,4/26/2017,72902,118171,58729,0,6445,2,4,,Bryan Burnett,High Performance,Need Improvement
Derek,Richards,IT,Data Analyst,1/26/2018,67368,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Zachary,Ward,IT,Software Engineer,08/02/2016 ,77731,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Brian,Goodwin,IT,IT Support,2/24/2022,89833,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Hayden,Ortiz,Customer Support,Call Center Agent,04/12/2021 ,47116,,,,,2,0,,Christopher Ochoa,Meets Expectation,Need Improvement
Maurice,Grant,Operations,Procurement Specialist,12/21/2021,92205,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Sharon,Hall,Operations,Logistics Coordinator,1/27/2019,81766,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Amanda,Mcmillan,Customer Support,Call Center Agent,08/01/2023 ,44078,,,,,3,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Alexandra,Johnson,Operations,Logistics Coordinator,07/05/2020 ,62656,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Scott,Freeman,Sales,Sales Executive,01/12/2016 ,43985,124805,164706,0,2811,1,4,,Bryan Burnett,Need Improvement,Need Improvement
Ryan,Lee,Customer Support,Support Specialist,1/31/2015,42326,,,,,3,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Daniel,Anderson,Finance,Accountant,06/09/2019 ,57487,,,,,,,,David Davis,Meets Expectation,Need Improvement
Amy,Casey,Finance,Financial Analyst,08/08/2021 ,57012,,,,,,,,David Davis,Meets Expectation,Need Improvement
Joshua,Phillips,Finance,Accountant,7/19/2018,106663,,,,,,,,David Davis,Meets Expectation,Need Improvement
Zachary,Reyes,Customer Support,Call Center Agent,6/27/2023,69991,,,,,1,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Austin,Harrison,HR,HR Coordinator,01/11/2017 ,71161,,,,,,,90,Renee Green,Meets Expectation,Need Improvement
Christopher,Deleon,Marketing,SEO Specialist,12/17/2022,66096,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Gina,Carey,Customer Support,Customer Service Rep,07/12/2020 ,39669,,,,,3,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Joshua,Lane,Operations,Procurement Specialist,9/16/2019,53567,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Charles,Collins,HR,HR Coordinator,7/13/2019,85295,,,,,,,74,Renee Green,Meets Expectation,Need Improvement
Katherine,Vasquez,Finance,Financial Analyst,7/27/2018,84735,,,,,,,,David Davis,Meets Expectation,Satisfactory
John,Mccormick,Sales,Sales Executive,6/28/2022,47351,188502,168196,0,10850,4,3,,Bryan Burnett,High Performance,Need Improvement
Sarah,Thompson,Sales,Sales Manager,01/12/2015 ,89888,102320,56124,0,4559,4,8,,Bryan Burnett,High Performance,Excellent Services
Alicia,Andersen,Customer Support,Customer Service Rep,12/13/2017,37619,,,,,5,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Reginald,Lucas,IT,Software Engineer,03/04/2018 ,108379,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Sheri,Moody,HR,HR Manager,2/16/2018,82661,,,,,,,87,Renee Green,Meets Expectation,Need Improvement
David,Murray,Finance,Financial Analyst,6/21/2017,93169,,,,,,,,David Davis,Meets Expectation,Need Improvement
Paul,Brown,HR,Recruiter,1/28/2018,92133,,,,,,,74,Renee Green,Meets Expectation,Need Improvement
Victor,Barber,Finance,Financial Analyst,10/03/2020 ,68529,,,,,,,,David Davis,Meets Expectation,Need Improvement
Angela,Schultz,Operations,Logistics Coordinator,11/04/2020 ,79708,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Raymond,Jackson,Sales,Sales Manager,09/06/2017 ,67960,114285,169472,0,5571,2,9,,Bryan Burnett,Need Improvement,Need Improvement
Brooke,Crawford,Finance,Auditor,7/30/2015,100623,,,,,,,,David Davis,Meets Expectation,Need Improvement
Dana,Beck,Marketing,Marketing Analyst,9/29/2016,49100,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Amy,Simmons,Marketing,Content Strategist,02/11/2015 ,72877,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Susan,Hale,IT,IT Support,9/29/2022,77076,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
David,Jones,Sales,Account Manager,9/14/2016,42283,117455,155702,0,4308,4,6,,Bryan Burnett,Need Improvement,Need Improvement
Tyler,Martin,HR,Recruiter,3/18/2016,70394,,,,,,,99,Renee Green,Meets Expectation,Need Improvement
Katherine,Beard,Operations,Procurement Specialist,9/22/2021,95343,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Amanda,Moore,HR,HR Coordinator,02/01/2023 ,78403,,,,,,,98,Renee Green,Meets Expectation,Need Improvement
Lauren,Clark,Operations,Logistics Coordinator,6/26/2020,60798,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Bailey,Mccoy,HR,HR Coordinator,05/07/2023 ,62431,,,,,,,91,Renee Green,Meets Expectation,Need Improvement
Johnny,Nelson,Marketing,SEO Specialist,12/26/2021,46269,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
